Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_D14,,0,,01,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_D14,,0,,01,3.545,0,0,0,0,0,0,0,0,0,0,1
,,CM_D14,,0,,01,4.725,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,5.745,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,6.360,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,6.585,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,6.985,0,0,0,0,0,0,1,0,0,0,0
,,CM_D14,,0,,01,15.340,0,0,0,1,0,0,0,0,0,0,0
,,CM_D14,,0,,01,15.430,0,0,0,0,0,0,0,1,0,0,0
,,CM_D14,,0,,01,22.270,0,0,0,1,0,0,0,0,0,0,0
,,CM_D14,,0,,01,23.015,0,0,0,0,0,0,0,1,0,0,0
,,CM_D14,,0,,01,27.915,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,27.995,0,0,0,0,0,0,0,0,0,0,1
,,CM_D14,,0,,01,28.240,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,28.260,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,29.745,0,0,0,0,0,0,1,0,0,0,0
,,CM_D14,,0,,01,30.445,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,30.455,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,30.615,0,0,0,0,0,0,0,0,0,0,1
,,CM_D14,,0,,01,31.565,0,0,0,0,0,0,1,0,0,0,0
,,CM_D14,,0,,01,33.260,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,33.365,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,33.485,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,34.695,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,34.760,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,34.810,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,34.905,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,37.810,0,0,0,0,0,0,0,0,0,0,1
,,CM_D14,,0,,01,38.115,0,0,0,0,0,0,0,0,0,1,0
,,CM_D14,,0,,01,38.355,0,0,0,0,0,1,0,0,0,0,0
,,CM_D14,,0,,01,38.495,0,0,0,0,0,0,1,0,0,0,0
