Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_D2,,6,,09,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,8.970,0,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,26.710,0,0,0,0,0,0,0,0,0,0,1
,,CM_D2,,6,,09,29.455,0,0,0,0,0,0,1,0,0,0,0
,,CM_D2,,6,,09,36.545,0,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,38.215,0,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,39.875,0,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,47.781,0,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,49.050,0,0,0,0,0,0,0,0,0,0,1
,,CM_D2,,6,,09,52.510,0,0,0,0,0,0,1,0,0,0,0
,,CM_D2,,6,,09,55.920,0,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,58.845,0,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,59.265,0,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,64.735,0,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,70.020,0,0,0,0,0,0,0,0,0,0,1
,,CM_D2,,6,,09,70.790,0,0,0,0,0,0,1,0,0,0,0
,,CM_D2,,6,,09,70.925,0,0,0,0,0,0,0,0,0,0,1
,,CM_D2,,6,,09,71.565,0,0,0,0,0,0,1,0,0,0,0
,,CM_D2,,6,,09,71.685,0,0,0,0,0,0,0,0,0,0,1
,,CM_D2,,6,,09,76.985,0,0,0,0,0,0,1,0,0,0,0
,,CM_D2,,6,,09,85.830,0,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,116.535,0,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,117.995,0,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,119.125,0,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,119.145,0,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,119.150,0,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,120.005,0,1,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,120.010,1,3,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,120.015,3,372,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,120.690,372,0,0,0,0,0,0,0,0,0,1
,,CM_D2,,6,,09,120.855,372,0,0,0,0,0,1,0,0,0,0
,,CM_D2,,6,,09,122.400,372,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,125.820,372,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,125.860,372,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,125.910,372,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,126.045,372,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,126.330,372,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,130.325,372,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,130.385,372,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,131.685,372,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,131.785,372,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,131.805,372,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,131.830,372,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,131.975,372,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,132.015,372,1,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,132.020,1,3,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,132.025,3,336,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,132.075,336,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,132.090,336,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,132.135,336,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,132.135,336,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,132.200,336,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,132.245,336,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,132.410,336,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,132.930,336,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,133.175,336,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,133.300,336,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,134.220,336,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,135.085,336,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,136.235,336,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,136.460,336,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,138.890,336,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,141.275,336,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,141.740,336,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,141.820,336,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,141.915,336,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,141.925,336,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,143.065,336,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,143.665,336,0,0,0,0,0,0,1,0,0,0
,,CM_D2,,6,,09,144.025,336,1,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,144.031,1,3,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,144.035,3,369,0,0,0,0,0,0,0,0,0
,,CM_D2,,6,,09,145.995,369,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,146.005,369,0,0,0,0,0,0,0,0,1,0
,,CM_D2,,6,,09,146.050,369,0,0,1,0,0,0,0,0,0,0
,,CM_D2,,6,,09,146.085,369,0,0,0,0,1,0,0,0,0,0
,,CM_D2,,6,,09,146.175,369,0,0,0,0,0,0,0,0,1,0
