Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_D7,,1,,02,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_D7,,1,,02,20.190,0,0,0,0,0,0,0,0,0,0,1
,,CM_D7,,1,,02,24.580,0,0,0,0,0,0,1,0,0,0,0
,,CM_D7,,1,,02,36.615,0,0,0,0,0,0,0,0,0,1,0
,,CM_D7,,1,,02,74.670,0,0,0,0,0,1,0,0,0,0,0
,,CM_D7,,1,,02,85.665,0,0,0,0,0,0,0,0,0,0,1
,,CM_D7,,1,,02,86.310,0,0,0,0,0,0,1,0,0,0,0
,,CM_D7,,1,,02,98.260,0,0,0,0,0,0,0,0,0,1,0
,,CM_D7,,1,,02,105.935,0,0,0,0,0,1,0,0,0,0,0
,,CM_D7,,1,,02,106.010,0,0,0,0,0,0,0,0,0,1,0
,,CM_D7,,1,,02,106.890,0,0,0,0,0,1,0,0,0,0,0
,,CM_D7,,1,,02,107.155,0,0,0,0,0,0,0,0,0,1,0
,,CM_D7,,1,,02,107.575,0,0,0,0,0,1,0,0,0,0,0
,,CM_D7,,1,,02,107.740,0,0,0,0,0,0,0,0,0,1,0
,,CM_D7,,1,,02,120.005,0,1,0,0,0,0,0,0,0,0,0
,,CM_D7,,1,,02,120.010,1,3,0,0,0,0,0,0,0,0,0
,,CM_D7,,1,,02,120.015,3,48,0,0,0,0,0,0,0,0,0
,,CM_D7,,1,,02,120.655,48,0,0,1,0,0,0,0,0,0,0
,,CM_D7,,1,,02,123.700,48,0,0,0,0,0,0,1,0,0,0
,,CM_D7,,1,,02,124.195,48,0,0,1,0,0,0,0,0,0,0
,,CM_D7,,1,,02,126.455,48,0,0,0,0,0,0,1,0,0,0
,,CM_D7,,1,,02,130.760,48,0,0,1,0,0,0,0,0,0,0
,,CM_D7,,1,,02,131.880,48,0,0,0,0,0,0,1,0,0,0
