Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_RANDOM,,4,,17,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,4,,17,4.050,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,4,,17,5.105,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,4,,17,5.345,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,4,,17,5.370,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,4,,17,6.575,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,8.825,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,9.105,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,9.125,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,9.170,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,9.225,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,9.345,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,9.580,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,9.790,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,9.905,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,9.950,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,9.960,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,10.006,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,10.220,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,10.310,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,10.420,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,10.530,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,10.535,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,10.555,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,12.985,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,14.060,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,14.110,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,16.835,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,4,,17,16.881,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,4,,17,19.235,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,19.400,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,19.510,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,20.460,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,20.610,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,4,,17,20.795,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,4,,17,21.100,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,21.205,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,21.256,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,21.270,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,21.405,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,21.545,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,21.590,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,21.595,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,21.675,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,21.680,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,21.810,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,21.965,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,22.025,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,22.455,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,22.610,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,22.705,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,22.855,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,4,,17,22.930,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,4,,17,23.095,0,0,0,0,0,0,0,0,0,1,0
