Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_D1,,7,,10,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_D1,,7,,10,0.055,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,0.210,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,7,,10,0.235,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,0.300,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,7,,10,0.365,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,0.401,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,7,,10,0.550,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,0.605,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,7,,10,2.276,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,3.270,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,7,,10,3.295,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,3.310,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,7,,10,3.320,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,11.880,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,7,,10,12.230,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,7,,10,12.350,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,7,,10,12.370,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,7,,10,12.460,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,7,,10,12.470,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,7,,10,14.840,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,7,,10,15.515,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,15.595,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,7,,10,15.625,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,7,,10,19.915,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,7,,10,20.055,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,7,,10,20.110,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,7,,10,20.270,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,7,,10,20.375,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,7,,10,20.520,0,0,0,0,0,0,1,0,0,0,0
