Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_D1,,15,,15,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,0.271,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,0.565,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,8.790,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,24.810,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,24.940,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,25.480,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,25.540,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,25.730,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,26.021,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,26.310,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,26.695,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,30.015,0,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,30.230,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,30.505,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,30.590,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,31.190,0,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,35.070,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,35.205,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,37.170,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,37.230,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,37.290,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,44.370,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,44.460,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,44.725,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,45.180,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,45.265,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,45.685,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,45.765,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,46.535,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,46.545,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,46.580,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,47.190,0,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,47.290,0,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,47.480,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,48.095,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,48.190,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,48.210,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,49.530,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,50.415,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,50.550,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,53.375,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,53.435,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,53.550,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,53.625,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,53.710,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,53.840,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,53.955,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,55.400,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,55.450,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,55.615,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,58.110,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,65.780,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,65.890,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,75.755,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,76.490,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,79.660,0,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,79.815,0,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,80.180,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,80.615,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,80.695,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,82.705,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,83.295,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,83.510,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,84.521,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,85.610,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,100.785,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,101.025,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,101.055,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,101.620,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,109.755,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,109.860,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,109.921,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,110.230,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,110.385,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,110.865,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,111.170,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,111.190,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,111.220,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,111.375,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,111.660,0,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,112.035,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,114.810,0,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,119.720,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,119.775,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,119.875,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,119.965,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,120.005,0,1,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,120.010,1,3,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,120.015,3,21,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,120.155,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,120.240,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,120.470,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,120.490,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,124.555,21,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,125.105,21,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,127.540,21,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,128.185,21,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,128.230,21,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,128.240,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,128.600,21,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,129.305,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,129.415,21,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,129.580,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,129.730,21,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,129.820,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,130.055,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,130.120,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,130.615,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,130.670,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,131.450,21,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,132.210,21,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,135.040,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,135.105,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,135.315,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,135.390,21,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,135.670,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,135.690,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,135.745,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,136.065,21,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,136.330,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,136.365,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,137.350,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,137.521,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,137.530,21,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,137.690,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,137.835,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,137.900,21,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,137.920,21,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,138.630,21,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,140.015,21,1,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,140.021,1,3,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,140.025,3,57,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,142.195,57,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,142.555,57,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,142.690,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,142.775,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,145.685,57,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,145.980,57,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,15,,15,147.220,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,147.280,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,147.370,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,147.400,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,151.640,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,151.680,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,154.030,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,154.130,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,154.290,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,154.385,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,154.400,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,154.460,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,154.550,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,154.640,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,157.575,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,158.521,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,158.715,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,160.025,57,1,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,160.030,1,3,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,160.035,3,93,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,164.380,93,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,164.710,93,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,165.885,93,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,165.910,93,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,166.100,93,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,166.870,93,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,168.200,93,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,168.330,93,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,174.785,93,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,175.250,93,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,177.510,93,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,177.771,93,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,177.920,93,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,177.970,93,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,180.035,93,1,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,180.040,1,3,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,180.045,3,129,0,0,0,0,0,0,0,0,0
,,CM_D1,,15,,15,180.890,129,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,181.375,129,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,181.830,129,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,181.955,129,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,182.135,129,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,15,,15,182.155,129,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,15,,15,182.195,129,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,15,,15,182.280,129,0,0,0,0,0,0,0,0,1,0
