Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_D1,,6,,09,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_D1,,6,,09,6.460,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,6,,09,12.730,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,6,,09,12.860,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,6,,09,12.910,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,6,,09,12.950,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,6,,09,13.050,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,6,,09,13.105,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,6,,09,59.625,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,6,,09,63.585,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,6,,09,64.210,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,6,,09,64.940,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,6,,09,66.360,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,6,,09,83.965,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,6,,09,89.615,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,6,,09,92.025,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,6,,09,92.200,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,6,,09,92.300,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,6,,09,98.905,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,6,,09,103.095,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,6,,09,103.190,0,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,6,,09,104.860,0,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,6,,09,107.280,0,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,6,,09,107.365,0,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,6,,09,118.015,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,6,,09,120.005,0,1,0,0,0,0,0,0,0,0,0
,,CM_D1,,6,,09,120.010,1,3,0,0,0,0,0,0,0,0,0
