Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_D15,,5,,07,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_D15,,5,,07,5.430,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,6.920,0,0,0,0,0,0,0,0,0,0,1
,,CM_D15,,5,,07,20.270,0,0,0,0,0,0,1,0,0,0,0
,,CM_D15,,5,,07,23.105,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,34.615,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,34.870,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,34.930,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,34.950,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,35.020,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,35.070,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,35.340,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,37.270,0,0,0,0,0,0,0,0,0,0,1
,,CM_D15,,5,,07,37.305,0,0,0,0,0,0,1,0,0,0,0
,,CM_D15,,5,,07,37.680,0,0,0,0,0,0,0,0,0,0,1
,,CM_D15,,5,,07,39.900,0,0,0,0,0,0,1,0,0,0,0
,,CM_D15,,5,,07,44.256,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,48.800,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,48.995,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,49.750,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,51.135,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,58.381,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,58.450,0,0,0,1,0,0,0,0,0,0,0
,,CM_D15,,5,,07,58.655,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,59.455,0,0,0,0,0,0,0,1,0,0,0
,,CM_D15,,5,,07,59.700,0,0,0,1,0,0,0,0,0,0,0
,,CM_D15,,5,,07,59.895,0,0,0,0,0,0,0,1,0,0,0
,,CM_D15,,5,,07,60.480,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,60.660,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,60.830,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,60.890,0,0,0,0,0,0,0,0,0,1,0
,,CM_D15,,5,,07,65.645,0,0,0,0,0,1,0,0,0,0,0
,,CM_D15,,5,,07,67.500,0,0,0,0,0,0,0,0,0,0,1
