Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_RANDOM,,0,,05,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,5.720,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,5.790,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,6.070,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,6.115,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,10.860,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,0,,05,11.130,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,11.620,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,11.740,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,0,,05,12.985,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,0,,05,13.470,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,0,,05,13.635,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,0,,05,14.595,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,0,,05,18.185,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,0,,05,18.905,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,0,,05,26.995,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,27.035,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,28.415,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,28.470,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,28.615,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,28.645,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,30.810,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,30.855,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,30.885,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,31.365,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,32.420,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,32.560,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,32.625,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,32.670,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,34.095,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,34.770,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,34.900,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,42.105,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,42.125,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,43.080,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,43.585,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,43.660,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,43.725,0,0,0,0,0,0,0,0,0,1,0
,,CM_RANDOM,,0,,05,46.655,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,0,,05,46.715,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,0,,05,46.825,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,0,,05,46.890,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,0,,05,46.940,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,0,,05,46.965,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,0,,05,47.075,0,0,0,0,0,0,0,0,0,0,1
,,CM_RANDOM,,0,,05,49.400,0,0,0,0,0,0,1,0,0,0,0
,,CM_RANDOM,,0,,05,52.665,0,0,0,0,0,1,0,0,0,0,0
,,CM_RANDOM,,0,,05,58.730,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,58.965,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,61.360,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,61.470,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,61.545,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,61.600,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,61.720,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,62.685,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,62.760,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,64.080,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,66.260,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,67.095,0,0,0,0,0,0,0,1,0,0,0
,,CM_RANDOM,,0,,05,67.555,0,0,0,1,0,0,0,0,0,0,0
,,CM_RANDOM,,0,,05,68.095,0,0,0,0,0,0,0,1,0,0,0
