Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,CM_D1,,0,,01,0.000,0,0,0,0,0,0,0,0,0,0,0
,,CM_D1,,0,,01,2.555,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,0,,01,2.935,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,0,,01,4.635,0,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,0,,01,7.390,0,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,0,,01,87.045,0,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,0,,01,87.595,0,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,0,,01,120.005,0,1,0,0,0,0,0,0,0,0,0
,,CM_D1,,0,,01,120.010,1,3,0,0,0,0,0,0,0,0,0
,,CM_D1,,0,,01,120.015,3,21,0,0,0,0,0,0,0,0,0
,,CM_D1,,0,,01,121.295,21,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,0,,01,121.625,21,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,0,,01,121.691,21,0,0,0,0,0,0,0,0,0,1
,,CM_D1,,0,,01,121.705,21,0,0,0,0,0,1,0,0,0,0
,,CM_D1,,0,,01,130.060,21,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,0,,01,131.550,21,0,0,0,0,0,0,1,0,0,0
,,CM_D1,,0,,01,132.015,21,1,0,0,0,0,0,0,0,0,0
,,CM_D1,,0,,01,132.020,1,3,0,0,0,0,0,0,0,0,0
,,CM_D1,,0,,01,132.025,3,57,0,0,0,0,0,0,0,0,0
,,CM_D1,,0,,01,135.800,57,0,0,0,0,0,0,0,0,1,0
,,CM_D1,,0,,01,142.100,57,0,0,0,0,1,0,0,0,0,0
,,CM_D1,,0,,01,142.580,57,0,0,1,0,0,0,0,0,0,0
,,CM_D1,,0,,01,144.025,57,1,0,0,0,0,0,0,0,0,0
